time_days,observed_m_s,uncertainty_m_s
0.0,16.19705496560575,3.0
0.711111111111111,26.128088779605257,3.0
1.422222222222222,27.543851496567328,3.0
2.133333333333333,23.413006970469887,3.0
2.844444444444444,16.558291150420622,3.0
3.5555555555555554,12.3436756696886,3.0
4.266666666666666,3.9656985344226223,3.0
4.977777777777777,2.567331866876729,3.0
5.688888888888888,-18.531333730581302,3.0
6.3999999999999995,-20.06714945582416,3.0
7.111111111111111,-17.874576990881266,3.0
7.822222222222221,-14.429135424341638,3.0
8.533333333333331,-14.378337989903713,3.0
9.244444444444444,-7.710516438687877,3.0
9.955555555555554,8.47979021131148,3.0
10.666666666666666,11.317962083675958,3.0
11.377777777777776,13.412357473261192,3.0
12.088888888888887,22.51376166869192,3.0
12.799999999999999,25.38390387372365,3.0
13.51111111111111,25.5422861937899,3.0
14.222222222222221,16.068877050711396,3.0
14.933333333333332,11.246629071413672,3.0
15.644444444444442,2.3909293005845296,3.0
16.355555555555554,-1.2391993151035825,3.0
17.066666666666663,-14.008422504225871,3.0
17.777777777777775,-14.966628295238749,3.0
18.488888888888887,-15.076994605354896,3.0
19.2,-14.670453523908655,3.0
19.911111111111108,-9.484298070062724,3.0
20.62222222222222,-3.8712549430558596,3.0
21.333333333333332,4.065561862303301,3.0
22.04444444444444,11.001120464901534,3.0
22.755555555555553,14.487924161463646,3.0
23.466666666666665,19.675753479063587,3.0
24.177777777777774,22.476314662366597,3.0
24.888888888888886,15.384241382487343,3.0
25.599999999999998,18.251392824702684,3.0
26.311111111111106,11.340318576897438,3.0
27.02222222222222,1.1531897901222854,3.0
27.73333333333333,-5.362968058474558,3.0
28.444444444444443,-11.570533075091008,3.0
29.15555555555555,-21.24074141082125,3.0
29.866666666666664,-18.477864038960195,3.0
30.577777777777776,-11.613081151322644,3.0
31.288888888888884,-10.38752400344524,3.0
31.999999999999996,1.6775138264589713,3.0
32.71111111111111,9.539495233155023,3.0
33.42222222222222,17.073772884591286,3.0
34.133333333333326,20.151786143779642,3.0
34.84444444444444,21.085351357104116,3.0
35.55555555555555,22.55463980978343,3.0
36.266666666666666,17.600849738829258,3.0
36.977777777777774,18.112582026107198,3.0
37.68888888888888,-0.633157536534589,3.0
38.4,2.848552645416209,3.0
39.11111111111111,-10.788841205508565,3.0
39.822222222222216,-15.700625300372579,3.0
40.53333333333333,-22.4575429706594,3.0
41.24444444444444,-19.19050466985973,3.0
41.95555555555555,-14.305413291448424,3.0
42.666666666666664,-2.4064780213620196,3.0
43.37777777777777,5.8131641257888305,3.0
44.08888888888888,6.793916910690674,3.0
44.8,18.138715491361577,3.0
